taxon_ID,Species_Name
2769,Chondrus crispus
3055,Chlamydomonas reinhardtii
3469,Papaver somniferum
3641,Theobroma cacao
3659,Cucumis sativus
3694,Populus trichocarpa
3702,Arabidopsis thaliana
3708,Brassica napus
3750,Malus domestica
3760,Prunus persica
3821,Cajanus cajan
3847,Glycine max
3871,Lupinus angustifolius
3880,Medicago truncatula
3885,Phaseolus vulgaris
3914,Vigna angularis
3983,Manihot esculenta
4072,Capsicum annuum
4081,Solanum lycopersicum
4113,Solanum tuberosum
4232,Helianthus annuus
4236,Lactuca sativa
4529,Oryza rufipogon
4533,Oryza brachyantha
4537,Oryza punctata
4538,Oryza glaberrima
4555,Setaria italica
4558,Sorghum bicolor
4565,Triticum aestivum
4572,Triticum urartu
4577,Zea mays
4615,Ananas comosus
4932,Saccharomyces cerevisiae
6239,Caenorhabditis elegans
7227,Drosophila melanogaster
7719,Ciona intestinalis
7757,Petromyzon marinus
7764,Eptatretus burgeri
7868,Callorhinchus milii
7897,Latimeria chalumnae
7918,Lepisosteus oculatus
7950,Clupea harengus
7955,Danio rerio
7994,Astyanax mexicanus
7998,Ictalurus punctatus
8005,Electrophorus electricus
8010,Esox lucius
8022,Oncorhynchus mykiss
8030,Salmo salar
8032,Salmo trutta
8049,Gadus morhua
8078,Fundulus heteroclitus
8081,Poecilia reticulata
8083,Xiphophorus maculatus
8090,Oryzias latipes
8128,Oreochromis niloticus
8175,Sparus aurata
8187,Lates calcarifer
8364,Xenopus tropicalis
8478,Chrysemys picta bellii
8502,Crocodylus porosus
8508,Sphenodon punctatus
8663,Notechis scutatus
8673,Pseudonaja textilis
9031,Gallus gallus
9103,Meleagris gallopavo
9135,Serinus canaria
9157,Parus major
9258,Ornithorhynchus anatinus
9305,Sarcophilus harrisii
9358,Choloepus hoffmanni
9361,Dasypus novemcinctus
9365,Erinaceus europaeus
9371,Echinops telfairi
9483,Callithrix jacchus
9531,Cercocebus atys
9541,Macaca fascicularis
9544,Macaca mulatta
9545,Macaca nemestrina
9555,Papio anubis
9568,Mandrillus leucophaeus
9593,Gorilla gorilla
9597,Pan paniscus
9598,Pan troglodytes
9601,Pongo abelii
9606,Homo sapiens
9615,Canis lupus familiaris
9627,Vulpes vulpes
9643,Ursus americanus
9646,Ailuropoda melanoleuca
9669,Mustela putorius furo
9685,Felis catus
9691,Panthera pardus
9739,Tursiops truncatus
9749,Delphinapterus leucas
9785,Loxodonta africana
9796,Equus caballus
9813,Procavia capensis
9823,Sus scrofa
9838,Camelus dromedarius
9913,Bos taurus
9925,Capra hircus
9940,Ovis aries
9978,Ochotona princeps
9986,Oryctolagus cuniculus
9999,Urocitellus parryii
10020,Dipodomys ordii
10029,Cricetulus griseus
10036,Mesocricetus auratus
10089,Mus caroli
10090,Mus musculus
10093,Mus pahari
10096,Mus spretus
10103,Mus spicilegus
10116,Rattus norvegicus
10141,Cavia porcellus
10160,Octodon degus
10181,Heterocephalus glaber
13333,Amborella trichopoda
13616,Monodelphis domestica
13735,Pelodiscus sinensis
15368,Brachypodium distachyon
27687,Erpetoichthys calabaricus
28377,Anolis carolinensis
28743,Cyprinodon variegatus
29073,Ursus maritimus
29139,Vombatus ursinus
29730,Gossypium raimondii
29760,Vitis vinifera
30521,Bos grunniens
30538,Vicugna pacos
30608,Microcebus murinus
30611,Otolemur garnettii
30732,Oryzias melastigma
31033,Takifugu rubripes
32473,Xiphophorus couchianus
32507,Neolamprologus brichardi
34839,Chinchilla lanigera
37003,Kryptolebias marmoratus
37293,Aotus nancymaae
37347,Tupaia belangeri
38626,Phascolarctos cinereus
40148,Oryza glumipatula
40149,Oryza meridionalis
41447,Seriola dumerili
42254,Sorex araneus
42514,Pygocentrus nattereri
48698,Poecilia formosa
48699,Poecilia latipinna
49390,Coffea canephora
49451,Nicotiana attenuata
51154,Catagonus wagneri
51240,Juglans regia
51337,Jaculus jaculus
51511,Ciona savignyi
52904,Scophthalmus maximus
56723,Labrus bergylta
57577,Trifolium pratense
59463,Myotis lucifugus
59479,Rhinolophus ferrumequinum
59729,Taeniopygia guttata
59894,Ficedula albicollis
60711,Chlorocebus sabaeus
61621,Rhinopithecus bieti
61622,Rhinopithecus roxellana
61819,Amphilophus citrinellus
61853,Nomascus leucogenys
62062,Hucho hucho
64144,Anabas testudineus
64176,Podarcis muralis
65489,Oryza barthii
68415,Moschus moschiferus
69293,Gasterosteus aculeatus
69332,Chara braunii
71139,Eucalyptus grandis
72004,Bos mutus
72664,Eutrema salsugineum
74649,Rosa chinensis
77586,Leersia perrieri
79684,Microtus ochrogaster
80966,Acanthochromis polyacanthus
80972,Amphiprion ocellaris
85681,Citrus clementina
88036,Selaginella moellendorffii
93934,Coturnix japonica
96440,Salvator merianae
99883,Tetraodon nigroviridis
106582,Maylandia zebra
109280,Hippocampus comes
113540,Scleropages formosus
130081,Galdieria sulphuraria
132585,Anser brachyrhynchus
132908,Pteropus vampyrus
144197,Stegastes partitus
158456,Betta splendens
161767,Amphiprion percula
205130,Mastacembelus armatus
210143,Corchorus capsularis
215358,Larimichthys crocea
244447,Cynoglossus semilaevis
286419,Canis lupus dingo
299321,Denticeps clupeoides
303518,Pundamilia nyererei
379532,Propithecus coquereli
452646,Neovison vison
586833,Myripristis murdjan
1328070,Prolemur simus
1676925,Paramormyrops kingsleyae
2489341,Strigops habroptila
2587831,Terrapene carolina triunguis
